business,creative_id,creative_name,bucket,spend_lifetime,spend_28d,purchases_28d,roas_28d,target_roas,v3,me,marcus,lin,aria,agreement_count,unique_labels,consensus_label,v3_reason,me_reason
IwaStore,1230828315767797,WallArtCatalog,active,40.17,40.17,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,diagnose,4.00,2.00,test_more,"Thin data (28d spend $40, 0 purchases, age 2d) — let the creative accumulate signal.","$40 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,931776873000095,Catalog New Collection,active,40.15,19.95,2.00,17.3669,3.50,test_more,test_more,keep,test_more,scale,3.00,3.00,test_more,"Thin data (28d spend $20, 2 purchases, age 1d) — let the creative accumulate signal.","$20 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1157254709850013,Hilye-i Sherif,active,39.44,0.00,0.00,,3.50,missing,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1331879072101118,Iconic beauty,closed_30d,38.41,5.45,0.00,0.0000,3.50,test_more,test_more,keep,test_more,refresh,3.00,3.00,test_more,"Thin data (28d spend $5, 0 purchases, age 42d) — let the creative accumulate signal.","Closed: sadece $38 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,960144903102269,A solid foundation,closed_30d,37.71,21.78,1.00,4.7534,3.50,test_more,test_more,keep,test_more,refresh,3.00,3.00,test_more,"Thin data (28d spend $22, 1 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $38 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,1945472502724074,EMB - ReligiousNecklace,active,32.51,32.51,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $33, 0 purchases, age 26d) — let the creative accumulate signal.","$33 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
TheSwaf,1229430125634078,bestsellersnecklace,active,32.47,32.47,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $32, 0 purchases, age 26d) — let the creative accumulate signal.","$32 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1658131231999984,The peace of,active,32.03,0.00,0.00,,3.50,missing,test_more,keep,test_more,diagnose,2.00,3.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
TheSwaf,4547154848899014,softness,active,30.25,30.25,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $30, 0 purchases, age 26d) — let the creative accumulate signal.","$30 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1433325747959693,Iconic beauty,closed_30d,26.27,3.74,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $4, 0 purchases, age 36d) — let the creative accumulate signal.","Closed: sadece $26 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,2073086786589405,Loved styling,closed_30d,24.91,7.60,1.00,61.2934,3.50,test_more,test_more,keep,test_more,refresh,3.00,3.00,test_more,"Thin data (28d spend $8, 1 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $25 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,26505469559090682,Beautiful gatherings,closed_30d,22.49,8.37,1.00,11.8280,3.50,test_more,test_more,keep,test_more,refresh,3.00,3.00,test_more,"Thin data (28d spend $8, 1 purchases, age 42d) — let the creative accumulate signal.","Closed: sadece $22 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1294593585891681,Timeless Crescent,closed_30d,21.21,2.31,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $2, 0 purchases, age 41d) — let the creative accumulate signal.","Closed: sadece $21 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,2467451360428576,EMB - AllRings,active,16.99,13.39,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $13, 0 purchases, age 3d) — let the creative accumulate signal.","$13 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1751293382982422,Transforming a house,active,16.48,16.48,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $16, 0 purchases, age 6d) — let the creative accumulate signal.","$16 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1447894557080027,Gift a sanctuary,closed_30d,16.30,0.55,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 42d) — let the creative accumulate signal.","Closed: sadece $16 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1524376165982018,A prayer niche,active,14.35,14.35,0.00,0.0000,3.50,diagnose,diagnose,test_more,test_more,cut,2.00,3.00,no_consensus,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,977493541930191,Beautiful gatherings,closed_30d,13.65,1.30,0.00,0.0000,3.50,test_more,test_more,keep,test_more,refresh,3.00,3.00,test_more,"Thin data (28d spend $1, 0 purchases, age 37d) — let the creative accumulate signal.","Closed: sadece $14 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,1444968763982893,EMB - TargeryenFlex,closed_30d,13.42,13.42,0.00,0.0000,2.20,diagnose,diagnose,test_more,test_more,diagnose,3.00,2.00,diagnose,"Active creative — 0 spend in last 7d, 28d total $13 — check delivery (ad set status, budget, audience size, frequency caps).","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
TheSwaf,1624871925951037,whispersfromthedevil,active,11.38,11.38,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $11, 0 purchases, age 26d) — let the creative accumulate signal.","$11 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1718734305961779,WoodenWallArtCatalog,active,11.18,4.91,0.00,0.0000,3.50,diagnose,diagnose,keep,test_more,diagnose,3.00,3.00,diagnose,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,1715560629433995,A soulful gift,closed_30d,10.70,1.35,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $11 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,2429399654167706,Decorating the,closed_30d,10.55,10.55,0.00,0.0000,3.50,diagnose,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,"Active creative — 0 spend in last 7d, 28d total $11 — check delivery (ad set status, budget, audience size, frequency caps).","Closed: sadece $11 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,1310237954326358,alphawolfnecklace,closed_30d,10.07,10.07,0.00,0.0000,2.20,diagnose,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,"Active creative — 0 spend in last 7d, 28d total $10 — check delivery (ad set status, budget, audience size, frequency caps).","Closed: sadece $10 test edildi (3×CPA eşiği $281) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,1508640670664791,EMB - Mix,active,9.90,5.44,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $5, 0 purchases, age 3d) — let the creative accumulate signal.","$5 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,932482069494079,Gift a sanctuary,closed_30d,9.14,9.14,0.00,0.0000,3.50,diagnose,diagnose,test_more,test_more,cut,2.00,3.00,no_consensus,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,946471284944193,So happy with,active,8.77,0.00,0.00,,3.50,missing,test_more,keep,test_more,diagnose,2.00,3.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1478679750647804,Iconic beauty,closed_30d,8.69,8.69,0.00,0.0000,3.50,diagnose,diagnose,test_more,test_more,cut,2.00,3.00,no_consensus,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,1225318442702777,Decorating the,closed_30d,8.41,1.15,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 40d) — let the creative accumulate signal.","Closed: sadece $8 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,2023813815225087,Glowing lanterns,closed_30d,7.34,7.34,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $7, 0 purchases, age 26d) — let the creative accumulate signal.","Closed: sadece $7 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1341073624739368,Timeless Crescent,closed_30d,6.87,6.87,0.00,0.0000,3.50,diagnose,diagnose,test_more,test_more,cut,2.00,3.00,no_consensus,"Tracking anomaly: spend, clicks, landing page views, add-to-cart, and checkout all have activity but purchases are zero. Verify pixel/CAPI purchase event firing before acting.","Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
IwaStore,1986352635337304,decorista_93,active,6.73,6.73,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $7, 0 purchases, age 4d) — let the creative accumulate signal.","$7 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1503961571525364,It became the favorite,active,6.04,6.04,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $6, 0 purchases, age 5d) — let the creative accumulate signal.","$6 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1280975290844183,New 2026 Collection,active,5.62,5.62,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $6, 0 purchases, age 4d) — let the creative accumulate signal.","$6 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,802825205720972,A journey toward,closed_30d,5.45,0.72,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $5 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1964610134172260,Gift a sanctuary,closed_30d,5.33,0.16,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 41d) — let the creative accumulate signal.","Closed: sadece $5 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,3208178412688054,EMB - Mix,active,4.27,4.27,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $4, 0 purchases, age 13d) — let the creative accumulate signal.","$4 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1893545414686924,Iconic beauty,closed_30d,3.87,3.87,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $4, 0 purchases, age 26d) — let the creative accumulate signal.","Closed: sadece $4 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1271058314571959,Beautiful gatherings,active,3.67,3.67,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $4, 0 purchases, age 17d) — let the creative accumulate signal.","$4 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,2363238150864793,Start with,closed_30d,3.60,0.84,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $4 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1345880953965537,It became the favorite,closed_30d,3.53,0.35,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 39d) — let the creative accumulate signal.","Closed: sadece $4 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,4367811283503430,Start with,active,2.92,2.92,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $3, 0 purchases, age 5d) — let the creative accumulate signal.","$3 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,2113260336123444,The golden details,active,2.89,0.00,0.00,,3.50,missing,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,937889615877203,Glowing lanterns,active,2.86,2.86,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,diagnose,4.00,2.00,test_more,"Thin data (28d spend $3, 0 purchases, age 11d) — let the creative accumulate signal.","$3 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,936568185925788,Timeless Crescent,closed_30d,2.68,2.68,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $3, 0 purchases, age 18d) — let the creative accumulate signal.","Closed: sadece $3 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1300480628535229,There’s a specia,active,2.57,0.00,0.00,,3.50,missing,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,984789670652584,Let the most,active,2.57,0.00,0.00,,3.50,missing,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,2026401714945589,A prayer niche,active,2.54,2.54,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $3, 0 purchases, age 12d) — let the creative accumulate signal.","$3 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1875473163115275,Beautiful gatherings,closed_30d,2.46,2.46,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $2, 0 purchases, age 18d) — let the creative accumulate signal.","Closed: sadece $2 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1379001707593645,Gift a sanctuary,closed_30d,2.24,2.24,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $2, 0 purchases, age 14d) — let the creative accumulate signal.","Closed: sadece $2 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,942632511988052,Gift a sanctuary,closed_30d,2.22,2.22,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $2, 0 purchases, age 27d) — let the creative accumulate signal.","Closed: sadece $2 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,2461627344307336,Beautiful gatherings,closed_30d,2.17,2.17,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,cut,4.00,2.00,test_more,"Thin data (28d spend $2, 0 purchases, age 26d) — let the creative accumulate signal.","Closed: sadece $2 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,26217458397936563,decorista_93,active,1.71,1.71,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $2, 0 purchases, age 3d) — let the creative accumulate signal.","$2 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,911903564961526,Decorating the,closed_30d,1.62,0.99,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 28d) — let the creative accumulate signal.","Closed: sadece $2 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
TheSwaf,840261811685973,EMB - ReligiousNecklace,active,1.58,1.58,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $2, 0 purchases, age 2d) — let the creative accumulate signal.","$2 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,4020864904715329,Timeless Crescent,closed_30d,1.38,0.55,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 42d) — let the creative accumulate signal.","Closed: sadece $1 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,941843838638338,Decorating the,closed_30d,1.36,1.36,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 27d) — let the creative accumulate signal.","Closed: sadece $1 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,26370728439273093,Elevate your,active,1.27,0.00,0.00,,3.50,missing,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1651845599492662,Glowing lanterns,closed_30d,1.21,0.42,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 28d) — let the creative accumulate signal.","Closed: sadece $1 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,964936183160568,Decorating the,active,1.07,1.07,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 18d) — let the creative accumulate signal.","$1 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1503170044485677,Glowing lanterns,active,1.03,1.01,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 9d) — let the creative accumulate signal.","$1 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,1681449599961309,Gift a sanctuary,closed_30d,0.82,0.46,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 32d) — let the creative accumulate signal.","Closed: sadece $1 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,2736771126679641,Since I hung,closed_30d,0.82,0.82,0.00,0.0000,3.50,diagnose,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,"Active creative — 0 spend in last 7d, 28d total $1 — check delivery (ad set status, budget, audience size, frequency caps).","Closed: sadece $1 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1692424485272995,If you’re looking,active,0.63,0.00,0.00,,3.50,missing,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,,"$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,905617072477248,Glowing lanterns,active,0.63,0.63,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 8d) — let the creative accumulate signal.","$1 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
TheSwaf,2239437839796106,EMB - TargeryenFlex,active,0.53,0.53,0.00,0.0000,2.20,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $1, 0 purchases, age 3d) — let the creative accumulate signal.","$1 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,881092554943010,Since I hung,closed_30d,0.52,0.52,0.00,0.0000,3.50,diagnose,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,"Active creative — 0 spend in last 7d, 28d total $1 — check delivery (ad set status, budget, audience size, frequency caps).","Closed: sadece $1 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1516635529950522,Iconic beauty,closed_30d,0.30,0.30,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 11d) — let the creative accumulate signal.","Closed: sadece $0 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,2317482965443311,decorista_93,active,0.13,0.13,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 1d) — let the creative accumulate signal.","$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,4337403796547773,Iconic beauty,closed_30d,0.12,0.12,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 12d) — let the creative accumulate signal.","Closed: sadece $0 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,955048726939519,Gift a sanctuary,closed_30d,0.09,0.09,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 11d) — let the creative accumulate signal.","Closed: sadece $0 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1281637630090710,A prayer niche,active,0.07,0.07,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 6d) — let the creative accumulate signal.","$0 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
IwaStore,3174616586071964,Beautiful gatherings,closed_30d,0.03,0.03,1.00,1910.3333,3.50,test_more,test_more,keep,test_more,keep,3.00,2.00,test_more,"Thin data (28d spend $0, 1 purchases, age 9d) — let the creative accumulate signal.","Closed: sadece $0 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1232574995617489,Beautiful gatherings,closed_30d,0.01,0.01,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 14d) — let the creative accumulate signal.","Closed: sadece $0 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1521625876245401,Timeless Crescent,closed_30d,0.01,0.01,0.00,0.0000,3.50,test_more,test_more,test_more,test_more,keep,4.00,2.00,test_more,"Thin data (28d spend $0, 0 purchases, age 12d) — let the creative accumulate signal.","Closed: sadece $0 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
IwaStore,1589360725474198,A prayer niche,closed_30d,0.00,0.00,0.00,,3.50,missing,test_more,test_more,test_more,diagnose,3.00,2.00,test_more,,"Closed: sadece $0 test edildi (3×CPA eşiği $173) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
